iter	Passed	Remaining
948	146903	162692
949	147028	162505
950	147128	162289
951	147261	162111
952	147405	161945
953	147523	161749
954	147659	161575
955	147810	161416
956	147951	161246
957	148074	161058
958	148206	160879
959	148345	160707
960	148495	160548
961	148627	160369
962	148760	160191
963	148900	160021
964	149011	159820
965	149136	159634
966	149247	159434
967	149402	159280
968	149566	159136
969	149701	158960
970	149868	158820
971	150004	158647
972	150151	158484
973	150312	158337
974	150454	158169
975	150602	158009
976	150722	157818
977	150828	157613
978	150963	157440
979	151111	157279
980	151269	157129
981	151401	156952
982	151543	156785
983	151692	156625
984	151812	156436
985	151949	156264
986	152090	156096
987	152209	155907
988	152353	155742
989	152491	155572
990	152641	155413
991	152762	155226
992	152874	155029
993	153032	154880
994	153164	154703
995	153308	154539
996	153458	154382
997	153597	154212
998	153740	154048
999	153890	153890
1000	154034	153726
1001	154173	153558
1002	154335	153411
1003	154497	153266
1004	154632	153093
1005	154765	152919
1006	154901	152747
1007	155042	152581
1008	155196	152428
1009	155326	152251
1010	155476	152093
1011	155620	151929
1012	155776	151778
1013	155910	151605
1014	156066	151453
1015	156206	151286
1016	156343	151116
1017	156472	150939
1018	156615	150775
1019	156751	150604
1020	156886	150433
1021	157036	150275
1022	157171	150104
1023	157310	149936
1024	157444	149764
1025	157576	149590
1026	157709	149416
1027	157848	149249
1028	157969	149065
1029	158113	148903
1030	158225	148710
1031	158370	148548
1032	158499	148372
1033	158660	148226
1034	158757	148020
1035	158890	147848
1036	159002	147656
1037	159098	147449
1038	159230	147277
1039	159350	147092
1040	159529	146963
1041	159641	146771
1042	159798	146621
1043	159940	146458
1044	160064	146279
1045	160227	146134
1046	160385	145986
1047	160482	145782
1048	160623	145617
1049	160746	145437
1050	160882	145269
1051	161030	145111
1052	161142	144921
1053	161291	144764
1054	161425	144594
1055	161581	144443
1056	161730	144287
1057	161835	144091
1058	161965	143917
1059	162079	143731
1060	162222	143569
1061	162383	143423
1062	162478	143219
1063	162617	143054
1064	162722	142859
1065	162881	142711
1066	163029	142554
1067	163170	142392
1068	163278	142200
1069	163429	142046
1070	163569	141882
1071	163716	141724
1072	163875	141577
1073	163998	141398
1074	164132	141229
1075	164274	141068
1076	164397	140890
